crime_date,crime_count
2016-12-20,694
2016-12-21,729
2016-12-22,704
2016-12-23,728
2016-12-24,604
2016-12-25,489
2016-12-26,647
2016-12-27,663
2016-12-28,722
2016-12-29,647
2016-12-30,742
2016-12-31,704
