date,year,mo,da,temp,dewp,slp,visib,wdsp,mxpsd,gust,max,min,prcp,sndp,fog,crime_date,crime_count
2016-02-03,2016,02,03,35.6,33.4,1002.0,5.6,9.9,18.1,26.0,37.4,30.9,0.79,999.9,1,2016-02-03,682
2016-02-06,2016,02,06,30.5,23.1,1025.4,9.2,6.9,15.0,19.0,41.0,24.1,0.0,999.9,0,2016-02-06,697
2016-02-18,2016,02,18,29.6,21.5,1027.3,9.9,9.5,19.0,26.0,42.1,21.0,0.0,1.2,0,2016-02-18,682
2016-02-07,2016,02,07,37.6,29.1,1013.2,9.9,10.5,15.9,24.1,43.0,25.0,0.0,999.9,0,2016-02-07,617
2016-02-08,2016,02,08,30.9,24.9,1005.9,9.7,9.1,15.0,999.9,43.0,27.0,0.0,999.9,0,2016-02-08,571
2016-02-22,2016,02,22,35.1,27.1,1022.1,10.0,3.4,9.9,999.9,44.1,26.1,0.0,999.9,0,2016-02-22,638
2016-02-02,2016,02,02,34.5,31.6,1016.9,5.4,9.8,24.1,35.0,45.0,30.0,0.0,999.9,0,2016-02-02,615
2016-02-23,2016,02,23,35.6,26.1,1019.9,9.4,4.5,9.9,999.9,45.0,26.1,0.0,999.9,0,2016-02-23,630
2016-02-24,2016,02,24,34.8,27.3,1010.9,7.5,16.6,25.1,34.0,45.0,26.2,0.0,2.0,1,2016-02-24,578
2016-02-01,2016,02,01,36.0,31.1,1014.1,9.2,5.5,12.0,999.9,48.0,30.9,0.02,999.9,0,2016-02-01,857
2016-02-27,2016,02,27,36.7,24.3,1016.4,9.9,10.7,15.9,27.0,54.0,26.1,0.0,999.9,0,2016-02-27,693
2016-02-21,2016,02,21,39.6,31.6,1018.1,10.0,8.2,12.0,999.9,57.0,35.1,0.0,999.9,0,2016-02-21,708
2016-02-28,2016,02,28,51.7,36.0,1002.8,10.0,16.9,20.0,33.0,61.0,46.0,0.0,999.9,0,2016-02-28,625
2016-02-29,2016,02,29,40.8,30.6,1009.8,10.0,14.1,22.0,32.1,62.1,32.0,0.08,999.9,0,2016-02-29,646
2016-02-19,2016,02,19,47.5,35.3,1006.7,9.9,22.5,36.9,54.0,62.1,39.0,0.0,999.9,0,2016-02-19,775
2016-02-20,2016,02,20,49.1,32.0,1009.9,10.0,14.1,28.0,38.1,62.1,41.0,0.0,999.9,0,2016-02-20,705
2016-03-02,2016,03,02,20.6,6.8,1020.3,10.0,7.6,15.9,999.9,32.0,10.9,0.06,1.2,0,2016-03-02,610
2016-03-01,2016,03,01,28.3,23.2,1013.2,8.2,15.1,22.9,29.9,33.1,21.0,0.04,1.2,1,2016-03-01,822
2016-03-03,2016,03,03,30.1,24.1,1019.0,6.1,6.7,9.9,999.9,33.8,27.0,0.05,1.2,0,2016-03-03,617
2016-03-05,2016,03,05,33.5,28.4,1019.3,6.5,8.2,14.0,999.9,39.0,19.9,0.07,1.2,0,2016-03-05,701
2016-03-04,2016,03,04,30.1,19.1,1021.7,9.7,6.0,12.0,999.9,39.0,19.9,0.02,1.2,0,2016-03-04,704
2016-03-24,2016,03,24,37.1,35.9,1003.2,4.2,11.7,19.0,25.1,42.1,33.1,0.24,999.9,0,2016-03-24,678
2016-03-20,2016,03,20,36.8,25.7,1022.3,10.0,8.4,14.0,22.0,46.0,30.0,0.0,999.9,0,2016-03-20,686
2016-03-25,2016,03,25,34.5,26.5,1015.5,10.0,8.2,20.0,24.1,48.0,28.0,0.96,999.9,0,2016-03-25,717
2016-03-21,2016,03,21,38.4,23.6,1020.9,10.0,5.7,12.0,999.9,48.9,28.0,0.0,999.9,0,2016-03-21,699
2016-03-19,2016,03,19,38.5,30.4,1021.1,10.0,7.3,11.1,999.9,48.9,33.1,0.0,999.9,0,2016-03-19,701
2016-03-06,2016,03,06,38.8,29.1,1022.2,9.2,9.2,18.1,24.1,52.0,29.1,0.0,1.2,0,2016-03-06,714
2016-03-14,2016,03,14,46.9,44.1,1005.3,6.0,4.4,8.9,999.9,54.0,42.8,0.6,999.9,0,2016-03-14,686
2016-03-26,2016,03,26,40.1,31.9,1020.6,9.7,6.7,13.0,15.9,54.0,29.1,0.0,999.9,0,2016-03-26,735
2016-03-11,2016,03,11,42.7,34.4,1026.1,9.9,4.8,8.9,999.9,55.0,34.0,0.0,999.9,0,2016-03-11,733
2016-03-17,2016,03,17,47.4,29.3,1009.4,10.0,15.0,24.1,46.0,55.9,39.9,0.03,999.9,0,2016-03-17,740
2016-03-18,2016,03,18,41.3,27.6,1016.2,10.0,8.3,12.0,19.0,55.9,32.0,0.0,999.9,0,2016-03-18,791
2016-03-29,2016,03,29,43.7,31.2,1024.7,9.7,5.1,12.0,19.0,57.9,30.9,0.0,999.9,0,2016-03-29,740
2016-03-16,2016,03,16,52.6,42.1,999.8,9.4,19.9,28.9,45.1,57.9,46.0,0.15,999.9,0,2016-03-16,745
2016-03-23,2016,03,23,41.6,35.3,1009.4,8.2,11.5,17.1,24.1,57.9,37.4,0.0,999.9,0,2016-03-23,686
2016-03-15,2016,03,15,49.5,45.2,1006.4,7.0,7.6,13.0,999.9,57.9,43.0,0.01,999.9,0,2016-03-15,713
